addr_count,taken,total,bias
2127,1,1,0
2128,1,1,0
2146,1,1,0
4409,1,1,0
4333,1,1,0
4331,1,1,0
2145,1,1,0
4330,1,1,0
4332,1,1,0
4408,1,1,0
2106,1,1,0
2132,1,1,0
2133,1,1,0
2131,1,1,0
2126,1,1,0
2129,0,1,0
2130,1,1,0
2134,0,1,0
2135,1,1,0
10569,1,1,0
10570,1,1,0
10790,34,34,0
10803,3,3,0
10804,1,1,0
11045,1,1,0
11046,1,1,0
11271,1,1,0
11272,1,1,0
11222,3,3,0
11223,1,1,0
11713,2,2,0
11714,1,1,0
11668,2,2,0
11669,1,1,0
11305,1,1,0
11306,1,1,0
11295,1,1,0
11296,1,1,0
11163,5,5,0
11164,1,1,0
11050,1,1,0
11051,1,1,0
11143,1,1,0
11144,1,1,0
11237,1,1,0
11238,1,1,0
11178,1,1,0
11179,1,1,0
11032,4,4,0
11033,1,1,0
11135,1,1,0
11136,1,1,0
10796,4,4,0
10797,1,1,0
10788,1,1,0
10789,1,1,0
11003,2,2,0
11004,1,1,0
11318,1,1,0
11319,1,1,0
11284,2,2,0
11285,1,1,0
11029,364,364,0
11030,1,1,0
11206,1,1,0
11207,1,1,0
10997,4,4,0
10998,1,1,0
10984,1,1,0
10985,1,1,0
10799,7,7,0
10800,1,1,0
11278,1,1,0
11279,1,1,0
11118,1,1,0
11119,1,1,0
10987,2,2,0
10988,1,1,0
11138,1,1,0
11139,1,1,0
11549,360,360,0
11550,1,1,0
10994,2,2,0
10995,1,1,0
11192,1,1,0
11193,1,1,0
10792,1,1,0
10793,1,1,0
11022,4,4,0
11023,1,1,0
10572,1,1,0
10573,1,1,0
10571,1,1,0
10785,1,1,0
10786,1,1,0
10787,1,1,0
10808,1,1,0
11120,2,4,1
11121,3,4,1
11122,2,4,1
11123,2,4,1
11124,3,4,1
11125,1,1,0
11660,1,1,0
11707,1,1,0
11833,0,1,0
11834,30,30,0
11835,30,30,0
11860,29,29,0
11861,29,29,0
11662,1,1,0
11706,1,1,0
11661,1,1,0
11115,1,1,0
11116,1,1,0
11127,1,1,0
11129,1,1,0
11134,1,1,0
11367,1,1,0
11434,1,1,0
11117,1,1,0
11126,1,1,0
11526,360,360,0
11527,360,360,0
11528,360,360,0
11529,360,360,0
11530,360,360,0
11564,0,360,0
11565,360,360,0
11421,2,2,0
11424,1,1,0
11422,0,2,0
11423,1,2,1
11742,1,1,0
11743,1,1,0
11425,1,1,0
11426,1,1,0
11606,0,75,0
11607,75,75,0
11609,0,75,0
11610,0,75,0
11611,0,75,0
11612,0,5972,0
11613,0,5972,0
11614,0,5972,0
11615,0,5971,0
11616,0,5971,0
11617,0,5971,0
11618,5971,5971,0
11630,0,5971,0
11631,5897,5971,0
11632,0,74,0
11633,74,74,0
11636,74,74,0
11637,0,74,0
11638,74,74,0
11634,2,74,0
11635,72,72,0
11648,2,2,0
11569,0,45,0
11570,45,45,0
11581,1,45,0
11582,0,45,0
11583,45,45,0
11602,45,45,0
11584,45,45,0
11601,45,45,0
11603,1,45,0
11604,0,45,0
11605,45,45,0
11652,1,1,0
11653,1,1,0
11280,1,1,0
11281,1,1,0
11282,0,1,0
11283,1,1,0
11287,1,1,0
11288,1,1,0
11292,0,1,0
11293,1,1,0
11538,0,360,0
11539,0,360,0
11540,230040,230400,0
11541,0,360,0
11542,360,360,0
11382,1,1,0
11180,1,1,0
11181,0,1,0
11182,1,1,0
11185,0,1,0
11186,1,1,0
11183,0,1,0
11184,1,1,0
11190,1,1,0
11187,1,1,0
11188,1,1,0
11189,1,1,0
11585,0,45,0
11586,3600,3600,0
11590,3600,3600,0
11595,3600,3600,0
11599,3555,3600,0
11600,45,45,0
11389,0,1,0
11390,1,1,0
11392,0,1,0
11393,0,1,0
11394,0,1,0
11395,0,1,0
11396,1,1,0
11397,8,8,0
11398,56,64,1
11399,1,8,1
11400,7,7,0
11401,0,1,0
11402,1,1,0
11391,1,1,0
11239,1,1,0
11240,0,1,0
11241,0,1,0
11242,1,1,0
11255,0,1,0
11256,1,1,0
11260,1,1,0
11264,0,1,0
11265,1,1,0
11266,1,1,0
11243,1,1,0
11253,0,1,0
11254,1,1,0
11267,1,1,0
11261,1,1,0
11263,1,1,0
11619,3600,3600,0
11620,0,3600,0
11621,3281,3600,1
11622,1311,1630,1
11623,319,319,0
11624,3600,3600,0
11626,3362,208806,0
11625,208806,226800,1
11643,17994,17994,0
11644,2827,17994,1
11645,25739,40906,1
11646,15167,15167,0
11647,17756,17994,0
11627,238,3600,1
11628,0,3600,0
11629,3600,3600,0
11836,2371,2371,0
11837,2371,2371,0
11851,2371,2371,0
11852,0,2371,0
11853,2371,2371,0
11838,0,2371,0
11839,2371,2371,0
11841,2371,2371,0
11849,2371,2371,0
11840,2371,2371,0
11850,2371,2371,0
11715,2,2,0
11716,1,2,1
11717,2,2,0
11718,0,2,0
11719,2,2,0
11720,32,32,0
11721,11,32,1
11722,17,38,1
11723,30,32,1
11724,0,2,0
11725,1,22,0
11726,17,38,1
11727,21,21,0
11728,19,21,1
11731,0,2,0
11732,2,2,0
11733,38,38,0
11735,36,38,1
11736,0,2,0
11737,2,2,0
11729,0,1,0
11730,1,1,0
11734,38,38,0
11739,1,1,0
11404,1,2,1
11405,2,2,0
11410,0,2,0
11411,1,2,1
11412,1,1,0
11413,1,1,0
11414,0,1,0
11415,1,1,0
11416,0,1,0
11417,1,1,0
11418,0,2,0
11419,2,2,0
11712,1,1,0
11738,1,1,0
11740,1,1,0
11711,1,1,0
11670,512,514,0
11671,248,10280,0
11672,10240,10280,0
11673,40,40,0
11674,10000,10280,0
11675,40,280,1
11676,10240,10280,0
11678,2,40,0
11679,19,38,1
11681,105,124,1
11680,21,38,1
11682,79,96,1
11683,17,17,0
11677,10040,10040,0
11684,474,514,1
11685,40,40,0
11686,512,514,0
11687,32,32,0
11688,30,32,1
11689,0,2,0
11690,7,9,1
11691,16346,16384,0
11692,16320,16384,0
11693,62,64,0
11694,0,2,0
11695,2,2,0
11664,0,1,0
11665,0,1,0
11666,0,1,0
11667,1,1,0
11696,0,1,0
11697,0,1,0
11698,1,1,0
11699,0,1,0
11700,0,1,0
11701,1,1,0
11273,1,1,0
11274,3,4,1
11275,1,1,0
11137,1,1,0
11176,1,1,0
11236,1,1,0
11268,0,1,0
11269,0,1,0
11270,1,1,0
